Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","461","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5527","Semences","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","24","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","422","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","13.82","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","Kcal/personne/jour","141","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","g/personne/jour","2.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","g/personne/jour","0.27","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","514","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5072","Variation de stock","2513","Orge","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","524","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5521","Aliments pour animaux","2513","Orge","2013","2013","Milliers de tonnes","360","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5527","Semences","2513","Orge","2013","2013","Milliers de tonnes","22","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2513","Orge","2013","2013","Milliers de tonnes","52","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","89","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","2.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2513","Orge","2013","2013","Kcal/personne/jour","26","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2513","Orge","2013","2013","g/personne/jour","0.79","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2513","Orge","2013","2013","g/personne/jour","0.24","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","312","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5911","Exportations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","313","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5521","Aliments pour animaux","2514","Maïs","2013","2013","Milliers de tonnes","200","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5527","Semences","2514","Maïs","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2514","Maïs","2013","2013","Milliers de tonnes","31","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","76","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","2.5","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2514","Maïs","2013","2013","Kcal/personne/jour","21","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2514","Maïs","2013","2013","g/personne/jour","0.56","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2514","Maïs","2013","2013","g/personne/jour","0.3","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","5511","Production","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5527","Semences","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2517","Millet","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2517","Millet","2013","2013","kg","0.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2517","Millet","2013","2013","Kcal/personne/jour","3","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2517","Millet","2013","2013","g/personne/jour","0.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2517","Millet","2013","2013","g/personne/jour","0.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2520","Céréales, Autres","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2520","Céréales, Autres","2013","2013","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2520","Céréales, Autres","2013","2013","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2520","Céréales, Autres","2013","2013","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","1870","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","1490","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2511","Blé","2013","2013","Milliers de tonnes","450","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","495","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","3316","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2511","Blé","2013","2013","Milliers de tonnes","37","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2511","Blé","2013","2013","Milliers de tonnes","31","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5123","Pertes","2511","Blé","2013","2013","Milliers de tonnes","74","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5131","Traitement","2511","Blé","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","3174","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","60.13","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2511","Blé","2013","2013","Kcal/personne/jour","492","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","15.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","2.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","1311","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","-231","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","163","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","920","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5123","Pertes","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5131","Traitement","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","919","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","17.41","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","Kcal/personne/jour","169","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","g/personne/jour","3.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2805","Riz (Eq Blanchi)","2013","2013","g/personne/jour","0.23","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","268","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","199","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2513","Orge","2013","2013","Milliers de tonnes","50","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","509","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2513","Orge","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2513","Orge","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5123","Pertes","2513","Orge","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5131","Traitement","2513","Orge","2013","2013","Milliers de tonnes","472","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2513","Orge","2013","2013","Kcal/personne/jour","1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2513","Orge","2013","2013","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","11811","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","56","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2514","Maïs","2013","2013","Milliers de tonnes","1650","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","3036","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","10480","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2514","Maïs","2013","2013","Milliers de tonnes","4715","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2514","Maïs","2013","2013","Milliers de tonnes","33","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5123","Pertes","2514","Maïs","2013","2013","Milliers de tonnes","405","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5131","Traitement","2514","Maïs","2013","2013","Milliers de tonnes","43","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5154","Autres Utilisations","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","5283","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","100.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2514","Maïs","2013","2013","Kcal/personne/jour","858","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2514","Maïs","2013","2013","g/personne/jour","21.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2514","Maïs","2013","2013","g/personne/jour","7.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5123","Pertes","2515","Seigle","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2515","Seigle","2013","2013","kg","0.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2515","Seigle","2013","2013","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2515","Seigle","2013","2013","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2515","Seigle","2013","2013","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2516","Avoine","2013","2013","Milliers de tonnes","28","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2516","Avoine","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2516","Avoine","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2516","Avoine","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2516","Avoine","2013","2013","Milliers de tonnes","49","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2516","Avoine","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5123","Pertes","2516","Avoine","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","40","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2516","Avoine","2013","2013","kg","0.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2516","Avoine","2013","2013","Kcal/personne/jour","5","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2516","Avoine","2013","2013","g/personne/jour","0.16","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2516","Avoine","2013","2013","g/personne/jour","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2517","Millet","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2517","Millet","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2517","Millet","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2517","Millet","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2517","Millet","2013","2013","kg","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2517","Millet","2013","2013","Kcal/personne/jour","1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2517","Millet","2013","2013","g/personne/jour","0.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2517","Millet","2013","2013","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2518","Sorgho","2013","2013","Milliers de tonnes","147","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2518","Sorgho","2013","2013","Milliers de tonnes","56","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2518","Sorgho","2013","2013","Milliers de tonnes","50","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2518","Sorgho","2013","2013","Milliers de tonnes","61","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2518","Sorgho","2013","2013","Milliers de tonnes","192","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2518","Sorgho","2013","2013","Milliers de tonnes","29","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2518","Sorgho","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5123","Pertes","2518","Sorgho","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5131","Traitement","2518","Sorgho","2013","2013","Milliers de tonnes","78","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","71","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2518","Sorgho","2013","2013","kg","1.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2518","Sorgho","2013","2013","Kcal/personne/jour","11","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2518","Sorgho","2013","2013","g/personne/jour","0.32","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2518","Sorgho","2013","2013","g/personne/jour","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2520","Céréales, Autres","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2520","Céréales, Autres","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5072","Variation de stock","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5911","Exportations - Quantité","2520","Céréales, Autres","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5521","Aliments pour animaux","2520","Céréales, Autres","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5527","Semences","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
