variety,area,dimension_1_mm,dimension_2_mm,dimension_3_mm,mass_g,sex
Tropicalis,Caraibean,43.2,19,197,4775,MALE
Tropicalis,Caraibean,38.1,16.5,198,3825,FEMALE
Tropicalis,Caraibean,45.6,20.3,191,4600,MALE
Tropicalis,Caraibean,39.7,17.7,193,3200,FEMALE
Tropicalis,Caraibean,42.2,19.5,197,4275,MALE
Tropicalis,Caraibean,39.6,20.7,191,3900,FEMALE
Tropicalis,Caraibean,42.7,18.3,196,4075,MALE
Tropicalis,Artic,38.6,17,188,2900,FEMALE
Tropicalis,Artic,37.3,20.5,199,3775,MALE
Tropicalis,Artic,35.7,17,189,3350,FEMALE
Tropicalis,Artic,41.1,18.6,189,3325,MALE
Tropicalis,Artic,36.2,17.2,187,3150,FEMALE
Tropicalis,Artic,37.7,19.8,198,3500,MALE
Tropicalis,Artic,40.2,17,176,3450,FEMALE
Tropicalis,Artic,41.4,18.5,202,3875,MALE
Tropicalis,Artic,35.2,15.9,186,3050,FEMALE
Tropicalis,Artic,40.6,19,199,4000,MALE
Tropicalis,Artic,38.8,17.6,191,3275,FEMALE
Tropicalis,Artic,41.5,18.3,195,4300,MALE
Tropicalis,Artic,39,17.1,191,3050,FEMALE
Tropicalis,Artic,44.1,18,210,4000,MALE
Tropicalis,Artic,38.5,17.9,190,3325,FEMALE
Tropicalis,Artic,43.1,19.2,197,3500,MALE
Tropicalis,Pacific,36.8,18.5,193,3500,FEMALE
Tropicalis,Pacific,37.5,18.5,199,4475,MALE
Tropicalis,Pacific,38.1,17.6,187,3425,FEMALE
Tropicalis,Pacific,41.1,17.5,190,3900,MALE
Tropicalis,Pacific,35.6,17.5,191,3175,FEMALE
Tropicalis,Pacific,40.2,20.1,200,3975,MALE
Tropicalis,Pacific,37,16.5,185,3400,FEMALE
Tropicalis,Pacific,39.7,17.9,193,4250,MALE
Tropicalis,Pacific,40.2,17.1,193,3400,FEMALE
Tropicalis,Pacific,40.6,17.2,187,3475,MALE
Tropicalis,Pacific,32.1,15.5,188,3050,FEMALE
Tropicalis,Pacific,40.7,17,190,3725,MALE
Tropicalis,Pacific,37.3,16.8,192,3000,FEMALE
Tropicalis,Pacific,39,18.7,185,3650,MALE
Tropicalis,Pacific,39.2,18.6,190,4250,MALE
Tropicalis,Pacific,36.6,18.4,184,3475,FEMALE
Tropicalis,Pacific,36,17.8,195,3450,FEMALE
Tropicalis,Pacific,37.8,18.1,193,3750,MALE
Tropicalis,Pacific,36,17.1,187,3700,FEMALE
Tropicalis,Pacific,41.5,18.5,201,4000,MALE
Chinensis,Pacific,46.5,17.9,192,3500,FEMALE
Chinensis,Pacific,50,19.5,196,3900,MALE
Chinensis,Pacific,51.3,19.2,193,3650,MALE
Chinensis,Pacific,45.4,18.7,188,3525,FEMALE
Chinensis,Pacific,52.7,19.8,197,3725,MALE
Chinensis,Pacific,45.2,17.8,198,3950,FEMALE
Chinensis,Pacific,46.1,18.2,178,3250,FEMALE
Chinensis,Pacific,51.3,18.2,197,3750,MALE
Chinensis,Pacific,46,18.9,195,4150,FEMALE
Chinensis,Pacific,51.3,19.9,198,3700,MALE
Chinensis,Pacific,46.6,17.8,193,3800,FEMALE
Chinensis,Pacific,51.7,20.3,194,3775,MALE
Chinensis,Pacific,47,17.3,185,3700,FEMALE
Chinensis,Pacific,52,18.1,201,4050,MALE
Chinensis,Pacific,45.9,17.1,190,3575,FEMALE
Chinensis,Pacific,50.5,19.6,201,4050,MALE
Chinensis,Pacific,50.3,20,197,3300,MALE
Chinensis,Pacific,58,17.8,181,3700,FEMALE
Chinensis,Pacific,46.4,18.6,190,3450,FEMALE
Chinensis,Pacific,49.2,18.2,195,4400,MALE
Chinensis,Pacific,42.4,17.3,181,3600,FEMALE
Chinensis,Pacific,48.5,17.5,191,3400,MALE
Chinensis,Pacific,43.2,16.6,187,2900,FEMALE
Chinensis,Pacific,50.6,19.4,193,3800,MALE
Chinensis,Pacific,46.7,17.9,195,3300,FEMALE
Chinensis,Pacific,52,19,197,4150,MALE
Chinensis,Pacific,50.5,18.4,200,3400,FEMALE
Chinensis,Pacific,49.5,19,200,3800,MALE
Chinensis,Pacific,46.4,17.8,191,3700,FEMALE
Chinensis,Pacific,52.8,20,205,4550,MALE
Chinensis,Pacific,40.9,16.6,187,3200,FEMALE
Chinensis,Pacific,54.2,20.8,201,4300,MALE
Chinensis,Pacific,42.5,16.7,187,3350,FEMALE
Chinensis,Pacific,51,18.8,203,4100,MALE
Chinensis,Pacific,49.7,18.6,195,3600,MALE
Chinensis,Pacific,47.5,16.8,199,3900,FEMALE
Chinensis,Pacific,47.6,18.3,195,3850,FEMALE
Chinensis,Pacific,52,20.7,210,4800,MALE
Chinensis,Pacific,46.9,16.6,192,2700,FEMALE
Chinensis,Pacific,53.5,19.9,205,4500,MALE
Chinensis,Pacific,49,19.5,210,3950,MALE
Chinensis,Pacific,46.2,17.5,187,3650,FEMALE
Chinensis,Pacific,50.9,19.1,196,3550,MALE
Chinensis,Pacific,45.5,17,196,3500,FEMALE
Chinensis,Pacific,50.9,17.9,196,3675,FEMALE
Chinensis,Pacific,50.8,18.5,201,4450,MALE
Chinensis,Pacific,50.1,17.9,190,3400,FEMALE
Chinensis,Pacific,49,19.6,212,4300,MALE
Chinensis,Pacific,51.5,18.7,187,3250,MALE
Chinensis,Pacific,49.8,17.3,198,3675,FEMALE
Chinensis,Pacific,48.1,16.4,199,3325,FEMALE
Chinensis,Pacific,51.4,19,201,3950,MALE
Chinensis,Pacific,45.7,17.3,193,3600,FEMALE
Chinensis,Pacific,50.7,19.7,203,4050,MALE
Chinensis,Pacific,42.5,17.3,187,3350,FEMALE
Chinensis,Pacific,52.2,18.8,197,3450,MALE
Chinensis,Pacific,45.2,16.6,191,3250,FEMALE
Chinensis,Pacific,49.3,19.9,203,4050,MALE
Chinensis,Pacific,50.2,18.8,202,3800,MALE
Chinensis,Pacific,45.6,19.4,194,3525,FEMALE
Chinensis,Pacific,51.9,19.5,206,3950,MALE
Chinensis,Pacific,46.8,16.5,189,3650,FEMALE
Chinensis,Pacific,45.7,17,195,3650,FEMALE
Chinensis,Pacific,55.8,19.8,207,4000,MALE
Chinensis,Pacific,43.5,18.1,202,3400,FEMALE
Chinensis,Pacific,49.6,18.2,193,3775,MALE
Chinensis,Pacific,50.8,19,210,4100,MALE
Chinensis,Pacific,50.2,18.7,198,3775,FEMALE
Peale,Caraibean,46.1,13.2,211,4500,FEMALE
Peale,Caraibean,50,16.3,230,5700,MALE
Peale,Caraibean,48.7,14.1,210,4450,FEMALE
Peale,Caraibean,50,15.2,218,5700,MALE
Peale,Caraibean,47.6,14.5,215,5400,MALE
Peale,Caraibean,46.5,13.5,210,4550,FEMALE
Peale,Caraibean,45.4,14.6,211,4800,FEMALE
Peale,Caraibean,46.7,15.3,219,5200,MALE
Peale,Caraibean,43.3,13.4,209,4400,FEMALE
Peale,Caraibean,46.8,15.4,215,5150,MALE
Peale,Caraibean,40.9,13.7,214,4650,FEMALE
Peale,Caraibean,49,16.1,216,5550,MALE
Peale,Caraibean,45.5,13.7,214,4650,FEMALE
Peale,Caraibean,48.4,14.6,213,5850,MALE
Peale,Caraibean,45.8,14.6,210,4200,FEMALE
Peale,Caraibean,49.3,15.7,217,5850,MALE
Peale,Caraibean,42,13.5,210,4150,FEMALE
Peale,Caraibean,49.2,15.2,221,6300,MALE
Peale,Caraibean,46.2,14.5,209,4800,FEMALE
Peale,Caraibean,48.7,15.1,222,5350,MALE
Peale,Caraibean,50.2,14.3,218,5700,MALE
Peale,Caraibean,45.1,14.5,215,5000,FEMALE
Peale,Caraibean,46.5,14.5,213,4400,FEMALE
Peale,Caraibean,46.3,15.8,215,5050,MALE
Peale,Caraibean,42.9,13.1,215,5000,FEMALE
Peale,Caraibean,46.1,15.1,215,5100,MALE
Peale,Caraibean,44.5,14.3,216,4100,NA
Peale,Caraibean,47.8,15,215,5650,MALE
Peale,Caraibean,48.2,14.3,210,4600,FEMALE
Peale,Caraibean,50,15.3,220,5550,MALE
Peale,Caraibean,47.3,15.3,222,5250,MALE
Peale,Caraibean,42.8,14.2,209,4700,FEMALE
Peale,Caraibean,45.1,14.5,207,5050,FEMALE
Peale,Caraibean,59.6,17,230,6050,MALE
Peale,Caraibean,49.1,14.8,220,5150,FEMALE
Peale,Caraibean,48.4,16.3,220,5400,MALE
Peale,Caraibean,42.6,13.7,213,4950,FEMALE
Peale,Caraibean,44.4,17.3,219,5250,MALE
Peale,Caraibean,44,13.6,208,4350,FEMALE
Peale,Caraibean,48.7,15.7,208,5350,MALE
Peale,Caraibean,42.7,13.7,208,3950,FEMALE
Peale,Caraibean,49.6,16,225,5700,MALE
Peale,Caraibean,45.3,13.7,210,4300,FEMALE
Peale,Caraibean,49.6,15,216,4750,MALE
Peale,Caraibean,50.5,15.9,222,5550,MALE
Peale,Caraibean,43.6,13.9,217,4900,FEMALE
Peale,Caraibean,45.5,13.9,210,4200,FEMALE
Peale,Caraibean,50.5,15.9,225,5400,MALE
Peale,Caraibean,44.9,13.3,213,5100,FEMALE
Peale,Caraibean,45.2,15.8,215,5300,MALE
Peale,Caraibean,46.6,14.2,210,4850,FEMALE
Peale,Caraibean,48.5,14.1,220,5300,MALE
Peale,Caraibean,45.1,14.4,210,4400,FEMALE
Peale,Caraibean,50.1,15,225,5000,MALE
Peale,Caraibean,46.5,14.4,217,4900,FEMALE
Peale,Caraibean,45,15.4,220,5050,MALE
Peale,Caraibean,43.8,13.9,208,4300,FEMALE
Peale,Caraibean,45.5,15,220,5000,MALE
Peale,Caraibean,43.2,14.5,208,4450,FEMALE
Peale,Caraibean,50.4,15.3,224,5550,MALE
Peale,Caraibean,45.3,13.8,208,4200,FEMALE
Peale,Caraibean,46.2,14.9,221,5300,MALE
Peale,Caraibean,45.7,13.9,214,4400,FEMALE
Peale,Caraibean,54.3,15.7,231,5650,MALE
Peale,Caraibean,45.8,14.2,219,4700,FEMALE
Peale,Caraibean,49.8,16.8,230,5700,MALE
Peale,Caraibean,46.2,14.4,214,4650,NA
Peale,Caraibean,49.5,16.2,229,5800,MALE
Peale,Caraibean,43.5,14.2,220,4700,FEMALE
Peale,Caraibean,50.7,15,223,5550,MALE
Peale,Caraibean,47.7,15,216,4750,FEMALE
Peale,Caraibean,46.4,15.6,221,5000,MALE
Peale,Caraibean,48.2,15.6,221,5100,MALE
Peale,Caraibean,46.5,14.8,217,5200,FEMALE
Peale,Caraibean,46.4,15,216,4700,FEMALE
Peale,Caraibean,48.6,16,230,5800,MALE
Peale,Caraibean,47.5,14.2,209,4600,FEMALE
Peale,Caraibean,51.1,16.3,220,6000,MALE
Peale,Caraibean,45.2,13.8,215,4750,FEMALE
Peale,Caraibean,45.2,16.4,223,5950,MALE
Peale,Caraibean,49.1,14.5,212,4625,FEMALE
Peale,Caraibean,52.5,15.6,221,5450,MALE
Peale,Caraibean,47.4,14.6,212,4725,FEMALE
Peale,Caraibean,50,15.9,224,5350,MALE
Peale,Caraibean,44.9,13.8,212,4750,FEMALE
Peale,Caraibean,50.8,17.3,228,5600,MALE
Peale,Caraibean,43.4,14.4,218,4600,FEMALE
Peale,Caraibean,51.3,14.2,218,5300,MALE
Peale,Caraibean,47.5,14,212,4875,FEMALE
Peale,Caraibean,52.1,17,230,5550,MALE
Peale,Caraibean,47.5,15,218,4950,FEMALE
Peale,Caraibean,52.2,17.1,228,5400,MALE
Peale,Caraibean,45.5,14.5,212,4750,FEMALE
Peale,Caraibean,49.5,16.1,224,5650,MALE
Peale,Caraibean,44.5,14.7,214,4850,FEMALE
Peale,Caraibean,50.8,15.7,226,5200,MALE
Peale,Caraibean,49.4,15.8,216,4925,MALE
Peale,Caraibean,46.9,14.6,222,4875,FEMALE
Peale,Caraibean,48.4,14.4,203,4625,FEMALE
Peale,Caraibean,51.1,16.5,225,5250,MALE
Peale,Caraibean,48.5,15,219,4850,FEMALE
Peale,Caraibean,55.9,17,228,5600,MALE
Peale,Caraibean,47.2,15.5,215,4975,FEMALE
Peale,Caraibean,49.1,15,228,5500,MALE
Peale,Caraibean,47.3,13.8,216,4725,NA
Peale,Caraibean,46.8,16.1,215,5500,MALE
Peale,Caraibean,41.7,14.7,210,4700,FEMALE
Peale,Caraibean,53.4,15.8,219,5500,MALE
Peale,Caraibean,43.3,14,208,4575,FEMALE
Peale,Caraibean,48.1,15.1,209,5500,MALE
Peale,Caraibean,50.5,15.2,216,5000,FEMALE
Peale,Caraibean,49.8,15.9,229,5950,MALE
Peale,Caraibean,43.5,15.2,213,4650,FEMALE
Peale,Caraibean,51.5,16.3,230,5500,MALE
Peale,Caraibean,46.2,14.1,217,4375,FEMALE
Peale,Caraibean,55.1,16,230,5850,MALE
Peale,Caraibean,44.5,15.7,217,4875,.
Peale,Caraibean,48.8,16.2,222,6000,MALE
Peale,Caraibean,47.2,13.7,214,4925,FEMALE
Peale,Caraibean,NA,NA,NA,NA,NA
Peale,Caraibean,46.8,14.3,215,4850,FEMALE
Peale,Caraibean,50.4,15.7,222,5750,MALE
Peale,Caraibean,45.2,14.8,212,5200,FEMALE
Peale,Caraibean,49.9,16.1,213,5400,MALE
